Numéro;genus;sp;LIB_PAYS;N_ESSEM;N_CTFT;ORIGINE;CRS;DURETE;D12;NE_D12;CV_D12;HYGRO;SATUR;RB;Champ1;RV;RT;RR;FEND;TRACTION;CIS;C12;NE_C12;CV_C12;C_T_HUMID;C_REPERE;F12;NE_F12;CV_F12;E;W
1959;Commiphora;sp;Madagascar;1249;15499;;C;1.1;0.4;8;5;0.0029;17;4.4;;0.26;3;1.1;15;1.6;;20.2;10;9;115;*;40.4;9;15;5101;4
1992;Commiphora;sp;Madagascar;1279;15460;;C;1;0.42;6;9;0.0033;26;6;;0.23;3.5;1.6;15.8;1.8;3,4;21.8;9;11;77;*;51.2;7;8;6965;5
2116;Commiphora;sp;Madagascar;1402;16128;;C;1.3;0.45;8;5;0.0029;18;5.7;;0.32;4.2;1.7;9.9;1.5;4,1;30;10;8;64;*;49.8;8;15;7456;7
3410;Copaifera;duckei;Bresil Amazonie;2666;27299;;C;6.5;0.82;10;3;0.0034;25;12.7;;0.51;7.8;5.1;18.5;2.7;8,2;80.2;10;5;58;;165.4;10;9;15598;47
416;Copaifera;guianensis;Guyane Francaise;0141;01216;;C;6.8;0.81;10;4;0.0031;21;11.6;;0.55;;;13.3;3.8;;76.4;20;5;65;*;143.6;8;10;;42
817;Copaifera;guianensis;Guyane Francaise;0289G;;G;C;;0.84;13;;0.0035;31;14.8;;0.48;;;;;;;;;;;;;;;
2757;Copaifera;mildbraedii;Centre Afrique;2026;18810;;C;4;0.61;8;5;0.0031;26;11;;0.42;6.8;3.8;21.4;2.9;7,0;57.1;10;8;84;*;109.4;10;9;10987;19
1171;Copaifera;mildbraedii;Gabon;0508;05591;;C;6;0.75;8;6;0.0036;29;12.9;;0.44;;;23.7;3.2;9,1;70.5;10;7;49;*;120.8;7;9;10791;27
3848;Copaifera;multijuga;Bresil Amazonie;3102;30280;;C;1.4;0.45;10;9;0.0028;30;10.2;;0.34;5.7;3.1;12.4;1.6;3,8;37.2;10;8;27;;69.1;10;5;7456;12
3827;Copaifera;multijuga;Bresil Amazonie;3081;30279;;C;1.2;0.51;10;8;0.0031;28;9.7;;0.35;6.5;3.2;12.1;2.1;5,2;40.7;10;5;24;;71.8;10;10;7848;14
3874;Copaifera;multijuga;Bresil Amazonie;3128;30278;;C;1.5;0.52;10;5;0.0031;26;9.7;;0.37;5.8;2.9;11.7;2.1;3,3;41.2;10;7;21;;78.3;10;11;8927;15
3832;Copaifera;multijuga;Bresil Amazonie;3086;30277;;S;1.8;0.54;6;7;0.0031;26;10;;0.38;5.7;2.8;12.6;1.4;4,7;37.9;6;10;23;;78.3;5;4;8927;17
492;Copaifera;multijuga;Bresil n.p.;0166V;;V;S;1.9;0.48;10;12;0.0028;26;9.9;;0.38;6.4;3.4;;;;36.1;9;4;24;*;73.8;10;14;10399;
471;Copaifera;multijuga;Bresil n.p.;0159V;;V;C;1.3;0.49;10;5;0.0031;25;8.3;;0.33;5.1;3.1;;;;34.1;10;5;14;*;73.8;10;6;8927;
578;Copaifera;multijuga;Bresil n.p.;0191V;;V;C;2;0.5;10;3;0.0032;27;9.4;;0.35;5.9;3.3;;;;35.8;10;4;23;*;76.8;10;7;9418;
522;Copaifera;multijuga;Bresil n.p.;0176V;;V;C;1.7;0.5;10;9;0.0028;24;9.6;;0.4;6.2;2.9;;;;36.6;10;6;19;*;69.9;10;8;8927;
1111;Copaifera;religiosa;Congo;0465;05283;;C;2.3;0.58;10;3;0.0041;39;10.6;;0.27;;;21.9;3;8,3;45.7;10;7;51;*;96.6;8;7;;19
3484;Copaifera;religiosa;Gabon;2739C;27569;C;C;3;0.57;10;4;0.0033;27;10.2;;0.38;7;5.3;13;2.3;8,7;49.1;10;7;17;;84.8;10;4;8339;17
1064;Copaifera;salikounda;Cote d'Ivoire;0440;04219;;C;4.9;0.78;10;2;0.0033;24;11.8;;0.49;8.4;5.1;20.2;2.7;;77.4;10;5;36;*;154.5;10;6;13440;25
3396;Copaifera;sp;Bresil Amazonie;2652C;26927;C;R;5.5;0.76;2;;0.0039;25;10.8;;0.43;7.1;3.7;15.8;2.7;;69.7;2;;40;;116.4;2;;11772;25
3402;Copaifera;sp;Bresil n.p.;2658;26886;;C;3.4;0.68;10;6;0.0034;26;11.3;;0.43;6.9;4.2;14.7;2.5;7,9;60.3;10;9;23;;116.6;10;4;12263;31
3703;Cordia;alliodora;Equateur;2957C;29618;C;S;1.3;0.41;6;15;0.0023;26;10.6;;0.41;7.1;3.7;;;;38.7;4;15;13;;65.2;5;21;7750;
3540;Cordia;alliodora;Guadeloupe;2793;28168;;S;2.2;0.49;9;9;0.003;25;8.7;;0.35;4.9;3.2;12.7;1.7;5,7;39.6;9;12;25;;77.2;9;18;7750;18
3537;Cordia;alliodora;Guadeloupe;2790;28168;;C;2.1;0.52;10;10;0.0031;23;8.6;;0.37;5.4;3.1;11.5;1.8;6,6;40;10;17;17;;80.3;10;15;7554;19
496;Cordia;alliodora;Guadeloupe;0168;02682;;C;3;0.61;10;9;0.0029;24;11;;0.46;;;12.2;1.7;;54.8;18;8;20;*;105.7;10;;;26
595;Cordia;collococca;Guadeloupe;0196;02680;;C;1.2;0.46;10;11;0.0027;37;12.7;;0.34;;;15.2;2.5;;31.7;20;;;*;56.1;10;;;14
405;Cordia;goeldiana;Bresil n.p.;0137V;;V;C;2.5;0.56;10;3;0.0029;21;9.2;;0.44;5.5;3.6;;;;43.2;10;13;20;*;91;10;10;12164;
436;Cordia;goeldiana;Bresil n.p.;0147V;;V;S;2.1;0.6;10;4;0.0023;22;12.2;;0.55;7.1;5;;;;52.5;10;3;23;*;100.9;9;7;15696;
1003;Cordia;platythyrsa;Cameroun;0391;04797;;C;1.3;0.41;18;;0.0032;31;7.6;;0.25;;;9.7;1.9;;38;18;;80;*;80.7;19;;;12
3575;Cordia;trichotoma;Paraguay;2825;28428;;S;2.4;0.55;5;3;0.0032;27;10.3;;0.38;6.9;3.5;;;;47.2;5;12;25;;80.2;5;9;8044;
1301;Cordyla;pinnata;Senegal;0638;06907;;C;8.7;0.86;9;4;0.0038;22;11.1;;0.5;6.2;4.6;18.7;2.6;9,8;70.9;10;5;41;*;114.3;9;14;12753;21
1558;Corynanthe;pachyceras;Cote d'Ivoire;0885;09942;;C;7.9;0.79;9;3;0.0037;28;12.9;;0.46;8.8;4.1;22.6;2.8;;65.2;10;8;66;*;115.5;9;14;11282;16
1094;Corynanthe;pachyceras;Cote d'Ivoire;0456;03742;;C;6.6;0.79;10;3;0.0031;29;14;;0.48;;;18.1;2.6;9,3;70.4;10;6;40;*;139;10;9;20111;16
88;Corythophora;rimosa;Bresil n.p.;0030V;;V;C;;1.01;10;1;0.0024;27;17.2;;0.64;9.8;6.9;;;;;;;;;;;;;
618;Corythophora;rimosa;Bresil n.p.;0203V;;V;C;14.4;1.04;10;1;0.0033;29;16.5;;0.57;10.6;6.5;;;;91.2;10;3;39;*;187.9;10;6;18639;
957;Couepia;guianensis;Guyane Francaise;0367G;;G;S;;0.94;6;;0.0036;38;19;;0.5;;;;;;;;;;;;;;;
1376;Coula;edulis;Cameroun;0712;07299;;C;8;1.06;10;2;0.0046;27;13.3;;0.49;8.5;4.9;33.9;3.8;9,9;78.9;10;8;74;*;136.6;8;15;13440;26
2185;Coula;edulis;Congo;1471;16113;;C;6.9;1.03;10;;0.0034;22;13;;0.59;8.6;4.6;27;4.1;12,1;81.5;10;4;48;*;145.8;6;13;17168;29
2113;Coula;edulis;Congo;1399;16113;;C;7.3;1.04;9;3;0.0039;20;10.7;;0.54;;;33.5;3.7;12,9;78;10;4;56;*;166.5;10;11;16285;27
2117;Coula;edulis;Congo;1403;16114;;C;10.5;1.08;10;3;0.0029;17;11.3;;0.66;;;37.5;4.2;9,7;71;10;5;69;*;174.1;7;6;16971;27
1043;Coula;edulis;Cote d'Ivoire;0424;04261;;C;5.9;0.96;19;;0.0037;23;12.7;;0.55;8.5;4.1;20.2;3.9;;83;19;;68;*;177.6;17;9;14715;50
238;Coula;edulis;Gabon;0081;01822;;C;6.3;0.91;10;2;0.0041;27;13;;0.48;;;16.6;2.6;;74.9;17;5;30;*;142.9;8;;;29
1891;Couma;guianensis;Guyane Francaise;1207G;;G;C;;0.54;14;;0.0029;33;12.5;;0.38;;;;;;;;;;;;;;;
2600;Couma;guianensis;Guyane Francaise;1884;18164;;C;2.4;0.55;9;4;0.0027;26;11.7;;0.45;9.1;5.2;9.9;1.7;6,4;55.3;10;7;54;*;92.7;8;9;9614;15
2607;Couma;guianensis;Guyane Francaise;1890;18158;;C;2.2;0.56;9;2;0.0025;26;12.3;;0.47;8.7;4.6;9.1;1.9;4,0;55.3;10;5;81;*;85.8;9;7;9712;16
2729;Couma;guianensis;Guyane Francaise;2000;18142;;R;3.2;0.59;2;;0.0024;29;14.5;;0.5;9.2;5.4;10.3;2.3;4,4;56.1;2;;77;*;96.2;2;;11674;14
2606;Couma;guianensis;Guyane Francaise;1889;18142;;C;2.6;0.6;9;10;0.0024;29;14.7;;0.51;8.2;4.6;11.1;2.1;3,3;55.7;10;6;77;*;86.4;9;7;10497;14
1930;Couma;guianensis;Guyane Francaise;1231G;;G;C;;0.62;15;;0.003;31;13.6;;0.44;;;;;;;;;;;;;;;
827;Couma;guianensis;Guyane Francaise;0294G;;G;S;;0.64;9;;0.0033;36;14.5;;0.4;;;;;;;;;;;;;;;
90;Couma;guianensis;Guyane Francaise;0031G;;G;C;;0.65;11;;0.0026;30;15;;0.5;;;;;;;;;;;;;;;
1071;Couma;guianensis;Guyane Francaise;0443G;;G;S;;0.67;9;;0.0033;30;13;;0.43;;;;;;;;;;;;;;;
117;Couma;guianensis;Guyane Francaise;0040G;;G;C;;0.68;12;;0.0029;28;13.6;;0.49;;;;;;;;;;;;;;;
951;Couratari;guianensis;Guyane Francaise;0364G;;G;S;;0.52;9;;0.0033;36;11.2;;0.31;;;;;;;;;;;;;;;
1073;Couratari;guianensis;Guyane Francaise;0444G;;G;S;;0.62;8;;0.0032;29;12.1;;0.42;;;;;;;;;;;;;;;
2349;Couratari;guianensis;Guyane Francaise;1635;16636;;S;2.9;0.64;9;4;0.003;27;12.6;;0.47;7;4.2;13.5;2.5;4,8;54.7;9;6;95;*;104;9;9;12949;20
1015;Couratari;guianensis;Guyane Francaise;0399G;;G;C;;0.64;11;;0.0033;29;12.5;;0.43;;;;;;;;;;;;;;;
2314;Couratari;guianensis;Guyane Francaise;1600;16645;;C;3.1;0.65;10;2;0.0027;24;12.1;;0.5;7.4;3.6;14.5;2.4;6,1;56.8;10;6;53;*;110.8;10;10;16187;27
2371;Couratari;multiflora;Guyane Francaise;1657;16780;;S;1.7;0.55;6;3;0.0032;34;12.4;;0.36;7.8;4.3;13.6;2.2;4,0;42.3;7;4;91;*;81;7;9;8142;19
1100;Couratari;multiflora;Guyane Francaise;0459G;;G;S;;0.66;9;;0.003;28;13.2;;0.47;;;;;;;;;;;;;;;
1340;Couratari;multiflora;Guyane Francaise;0677;06784;;C;3;0.67;11;9;0.003;29;13.3;;0.46;8.4;5.6;11.8;2.7;6,5;47.6;12;8;66;*;102.5;10;9;12459;23
3406;Couratari;oblongifolia;Bresil Amazonie;2662;27312;;C;2.4;0.55;10;2;0.0029;25;10.3;;0.41;5.6;3.7;9.5;1.5;4,0;41.3;10;6;22;;81.9;9;5;8927;21
444;Couratari;oblongifolia;Bresil n.p.;0150V;;V;C;2.8;0.56;10;1;0.0029;23;9.8;;0.43;5.7;3.9;;;;46.2;10;3;20;*;95.7;10;5;12851;
408;Couratari;oblongifolia;Bresil n.p.;0138V;;V;S;3.3;0.63;10;1;0.0029;27;12.7;;0.47;;;;;;42.1;10;7;17;*;97.3;9;10;12361;
1437;Couratari;oblongifolia;Guyane Francaise;0770;07726;;C;2.7;0.61;10;6;0.0032;29;12.1;;0.42;6.6;6.1;10.1;2.2;7,9;52.9;10;6;55;*;104.6;9;9;10791;19
3401;Couratari;sp;Bresil Amazonie;2657C;26932;C;R;2.3;0.6;2;;0.0029;25;11.3;;0.45;6.9;3.4;13.5;1.9;4,6;49.1;2;;28;;88.2;2;;10595;19
1934;Couratari;sp;Guyane Francaise;1233G;;G;S;;0.66;5;;0.0029;29;14.1;;0.49;;;;;;;;;;;;;;;
82;Couratari;stellata;Bresil n.p.;0028V;;V;C;;0.76;10;2;0.0035;29;13.7;;0.47;7.6;5.3;;;;;;;;;;;;;
462;Couroupita;sp;Bresil n.p.;0156V;;V;C;0.8;0.4;10;1;0.0026;25;10.1;;0.4;6.2;3.8;;;;34.6;10;17;15;*;50.2;10;30;9025;
570;Couroupita;sp;Bresil n.p.;0189V;;V;C;1.1;0.41;10;7;0.0024;27;10;;0.37;6.1;3.6;;;;27.2;10;12;17;*;57.9;10;27;8142;
489;Couroupita;sp;Bresil n.p.;0165V;;V;C;1.4;0.42;10;2;0.0025;26;9.3;;0.36;5.7;3.5;;;;27.1;8;16;10;*;61;10;19;9123;
519;Couroupita;sp;Bresil n.p.;0175V;;V;C;1.7;0.48;10;3;0.0028;29;10.2;;0.35;6.5;3.5;;;;36.8;10;8;20;*;69.4;10;14;7652;
3862;Couroupita;subsessilis;Bresil Amazonie;3116;30267;;S;1.5;0.45;5;3;0.0027;30;10.8;;0.36;9.3;4.8;;;;31.6;5;4;14;;50.4;5;13;5003;
3878;Couroupita;subsessilis;Bresil Amazonie;3132;30268;;S;1.4;0.45;6;5;0.0026;28;11;;0.39;6.4;3.8;8.8;1.6;3,3;36.1;6;4;16;;73.8;5;9;7456;17
3877;Couroupita;subsessilis;Bresil Amazonie;3131;30269;;S;1.4;0.47;5;2;0.0025;28;11.5;;0.41;6;3.8;8.2;1.6;2,6;36;5;8;16;;64.5;5;8;8044;13
3865;Couroupita;subsessilis;Bresil Amazonie;3119;30270;;S;1.7;0.5;6;4;0.0028;30;11.8;;0.39;6.6;4.3;;;;37.7;4;4;21;;61.7;6;16;7946;
3110;Couthovia;neo-caledonica;Nouvelle Caledonie;2372;22990;;S;1.7;0.47;7;1;0.0026;31;12.7;;0.41;9.9;2.9;13.8;1.9;5,0;31.7;7;15;87;*;63.5;6;20;5494;11
1198;Craspidospermum;verticillatum;Madagascar;0535;05569;;C;11;0.97;10;5;0.0031;25;14.5;;0.58;9.3;5.4;32.7;3.8;13,2;75.5;10;8;26;*;188.9;5;4;17952;58
3788;Cratoxylon;sp;Malaisie n.p.;3042C;30122;C;C;1.2;0.45;10;7;0.0025;31;11.9;;0.38;7.7;3.5;13.1;2.1;2,8;37.3;10;7;22;;73.9;10;7;8731;16
502;Crescentia;cujete;Guadeloupe;0170;02710;;C;2.5;0.56;10;7;0.0029;23;10.1;;0.44;;;16.3;3.2;;38.4;20;10;20;*;85.4;9;10;;92
2937;Crossostylis;grandiflora;Nouvelle Caledonie;2199;06104;;S;2.3;0.58;9;2;0.0027;25;11.8;;0.47;8.1;3.6;14.3;2.2;;41.6;9;6;72;*;84.2;8;9;6769;16
3587;Crossostylis;multiflora;Nouvelle Caledonie;2837;28080;;C;2.9;0.58;10;3;0.0031;27;11.3;;0.42;8.3;3.2;17;2.1;6,7;40;9;10;19;;78.3;8;14;7358;11
3586;Crossostylis;multiflora;Nouvelle Caledonie;2836;28074;;C;3;0.61;10;3;0.0031;28;12.1;;0.43;9.3;3.1;17.2;2.2;7,7;43;10;11;26;;86;7;10;8044;18
3102;Crossostylis;multiflora;Nouvelle Caledonie;2364;22985;;S;2.5;0.63;6;4;0.0032;27;11.7;;0.43;8.9;2.7;19.5;2.9;6,1;40.2;6;3;49;*;76.7;6;7;6573;14
1245;Crossostylis;multiflora;Nouvelle Caledonie;0582;06190;;C;3.4;0.63;11;3;0.0034;28;11.3;;0.4;9.1;3.3;23.1;3.1;7,8;46.5;11;8;35;*;90.4;11;9;9025;21
2519;Crossostylis;multiflora;Nouvelle Caledonie;1804;18039;;C;3.5;0.63;8;4;0.004;32;9.9;;0.31;9.4;2.8;18.4;2.5;7,8;42.3;10;14;49;*;87.3;7;12;8240;19
1836;Crossostylis;multiflora;Nouvelle Caledonie;1161;06190;;C;4.4;0.65;10;2;0.004;38;14.1;;0.37;9.2;3.5;22.3;3;12,7;51.3;10;4;63;*;101;6;2;8731;16
3589;Crossostylis;multiflora;Nouvelle Caledonie;2839;28081;;C;3.1;0.65;10;3;0.0032;28;12.3;;0.44;8.3;3.2;16.2;2;7,3;48.1;10;7;24;;94.1;10;10;9025;23
2044;Croton;oligandrus;Gabon;1331;15936;;C;3.3;0.62;7;6;0.0016;20;13.8;;0.69;7.7;2.7;24.9;3.5;14,4;51.3;10;7;65;*;136.2;7;6;13538;49
2033;Croton;oligandrus;Gabon;1320;15933;;C;3.8;0.65;8;5;0.0037;31;11.8;;0.38;8.4;4;26.1;3.2;9,2;50;10;7;72;*;130.5;10;5;12753;35
2120;Croton;oligandrus;Gabon;1406;16121;;C;3.5;0.66;8;5;0.003;26;12.4;;0.48;8.7;4.2;24;;8,4;46.1;10;11;72;*;115.5;10;8;12459;29
2035;Croton;oligandrus;Gabon;1322;15935;;C;4.8;0.69;8;9;0.0038;31;11.8;;0.38;7.7;3.8;26.7;3.3;8,4;59.2;10;9;53;*;136.9;9;13;16579;40
2043;Croton;oligandrus;Gabon;1330;15932;;C;5;0.69;8;5;0.0028;23;12.2;;0.53;8.3;3.8;27.5;2.9;12,4;54.4;10;5;78;*;141.1;7;16;15304;46
2029;Croton;oligandrus;Gabon;1316;15931;;C;5.6;0.7;7;7;0.0036;28;11.2;;0.4;8.7;4.2;27.8;3.5;10,2;48.9;10;10;84;*;138.4;8;7;14715;48
2112;Croton;tchibangensis;Gabon;1398;16129;;C;0.8;0.38;8;6;0.0031;54;9;;0.17;7;2;12.1;1.8;;28.9;10;6;67;*;61.4;10;7;5592;7
2144;Croton;tchibangensis;Gabon;1430;16157;;S;1.1;0.41;5;5;0.0028;35;8.4;;0.24;5.9;2.1;12;;3,9;30.6;7;5;91;*;54;8;17;6082;16
2130;Croton;tchibangensis;Gabon;1416;16155;;C;1;0.41;6;8;0.0028;36;8.6;;0.24;6.1;2;10.7;;5,4;28.5;10;11;67;*;64.3;9;15;7161;16
2111;Croton;tchibangensis;Gabon;1397;16124;;C;1;0.43;6;4;0.0029;39;10.2;;0.26;6.7;2.3;12.6;1.9;5,6;33.7;10;5;52;*;70.8;10;10;8339;12
2139;Croton;tchibangensis;Gabon;1425;16170;;S;1.5;0.47;6;6;0.0029;26;8.8;;0.34;5.7;2;11.8;1.8;;23.2;8;7;100;*;64.1;5;5;7259;15
670;Crudia;chrysantha;Vietnam Annam;0221;01149;;S;9;0.91;10;8;0.0042;23;11;;0.48;;;15.9;2.2;;74.3;17;14;30;*;130.3;6;18;;25
2477;Cryptocarya;aristata;Nouvelle Caledonie;1763;06132;;S;3.3;0.63;9;4;0.0034;31;12.3;;0.4;7.9;4.2;16.8;2.3;6,5;52.8;9;5;85;*;103.8;6;6;10791;15
1217;Cryptocarya;elliptica;Nouvelle Caledonie;0554;06095;;C;5.4;0.7;14;2;0.0039;47;16.2;;0.34;9.3;6.4;20.8;3.5;;73.3;15;4;37;*;145.1;15;4;17364;27
2974;Cryptocarya;elliptica;Nouvelle Caledonie;2236;06205;;C;4.6;0.74;10;4;0.0032;31;15;;0.48;9.5;5.3;28.4;3.2;10,5;51.4;10;10;73;*;100.2;8;13;10987;12
1262;Cryptocarya;leptospermoides;Nouvelle Caledonie;0599;06196;;C;5.4;0.75;15;4;0.0033;32;13.9;;0.43;8.2;5.8;29.6;3.4;8,5;69.5;15;5;48;*;143.1;13;15;15107;17
3561;Cryptocarya;macrocarpa;Nouvelle Caledonie;2812;28095;;C;2;0.59;10;8;0.003;29;12.4;;0.43;7.5;3.9;16.3;2.4;8,2;49.8;10;7;24;;88.4;10;11;11183;15
3567;Cryptocarya;macrocarpa;Nouvelle Caledonie;2817;28070;;C;4;0.67;10;9;0.0031;29;13.4;;0.46;8.5;4.9;20.8;3.1;11,2;61.6;10;4;31;;103.1;9;7;12949;14
3583;Cryptocarya;odorata;Nouvelle Caledonie;2833;28094;;S;3.4;0.7;9;3;0.0032;32;14.7;;0.46;9.8;5.1;19.4;2.8;6,9;62.3;9;4;36;;115.4;9;8;12263;20
1635;Cryptocarya;sp;Nouvelle Caledonie;0965;10518;;C;2.6;0.54;10;8;0.0034;37;11.6;;0.31;7.5;4.2;15.5;2.6;6,7;44.1;10;10;47;*;99.2;8;5;10399;14
1248;Cryptocarya;sp;Nouvelle Caledonie;0585;06197;;C;2.5;0.64;12;3;0.0043;65;16.7;;0.26;;;18.3;2.7;6,9;52.7;12;7;54;*;107.4;10;4;12164;26
2448;Cryptocarya;thouvenotii;Madagascar;1734;16822;;C;3.1;0.57;10;5;0.0031;29;11.4;;0.39;7.2;4.1;18.1;3.2;6,6;42;10;10;100;*;93.7;8;20;10301;16
2409;Cryptocarya;thouvenotii;Madagascar;1695;16823;;C;2.8;0.6;9;4;0.0025;28;13.7;;0.49;9.8;5.1;15;2.2;8,4;46.5;9;11;88;*;102.7;9;11;11085;21
2497;Cryptocarya;thouvenotii;Madagascar;1782;16906;;C;5.8;0.74;10;4;0.0034;29;13.3;;0.46;9.1;5.3;20.8;3.1;7,2;69.9;10;7;86;*;141.4;9;8;17364;21
2492;Cryptocarya;thouvenotii;Madagascar;1777;16905;;S;5.5;0.78;9;5;0.0027;33;17.8;;0.54;11.6;6.4;15.1;2.3;8,7;64.9;9;6;106;*;137.7;9;10;18443;26
2253;Cryptocarya;thouvenotii;Madagascar;1539;16904;;C;5.1;0.81;10;5;0.003;32;16.9;;0.53;11.1;6.7;17.3;3.3;9,7;75.6;10;7;57;*;148.4;10;11;16088;22
3453;Cryptomeria;japonica;Acores;2708C;27751;C;S;0.5;0.27;5;12;0.0018;28;8.8;;0.31;6.6;1.6;6;0.8;;21.3;5;26;8;;38.2;5;25;4513;5
3727;Cryptomeria;japonica;Japon;2981P;28014;P;S;1.2;0.37;5;3;0.0024;30;9.7;;0.32;6.4;2.3;;;;37.2;5;7;19;;65.9;5;5;6475;
3721;Cryptomeria;japonica;Japon;2975P;28015;P;S;2;0.42;4;2;0.0026;27;9.3;;0.34;5.7;2.7;;;;39.8;5;12;14;;76.6;5;11;6573;
3720;Cryptomeria;japonica;Japon;2974P;28013;P;S;1.9;0.42;5;6;0.0026;28;9.5;;0.34;6.5;2.8;;;;42.5;5;8;25;;77.5;5;6;7652;
3726;Cryptomeria;japonica;Japon;2980P;28012;P;S;1.9;0.45;5;4;0.0026;30;11.6;;0.39;7.4;3.5;;;;48.8;5;4;28;;79.6;5;5;8927;
3729;Cryptomeria;japonica;Japon;2983P;28016;P;S;2.9;0.47;5;4;0.0027;31;11.8;;0.38;7.4;3.5;;;;46.8;5;5;33;;86;5;1;10006;
3342;Cryptomeria;japonica;Reunion;2604;26111;;S;0.5;0.29;7;3;0.002;30;8.7;;0.29;6.4;2;7.6;0.8;;23.1;7;15;40;*;37.3;7;15;3924;7
3708;Cryptomeria;japonica;Reunion;2962P;29794;P;S;0.4;0.29;5;4;0.002;32;8.8;;0.28;7.1;2.1;;;;19.9;5;9;10;;35.5;5;16;3237;
3762;Cryptomeria;japonica;Reunion;3016P;29801;P;S;0.8;0.29;5;4;0.002;30;8.3;;0.28;6.8;1.7;;;;24.5;5;14;17;;40.7;5;9;3924;
3360;Cryptomeria;japonica;Reunion;2622;26118;;S;0.6;0.3;8;10;0.0021;31;8.6;;0.28;6.5;1.7;8;1;;19.8;8;14;51;*;36;8;8;2551;7
3713;Cryptomeria;japonica;Reunion;2967P;29789;P;S;0.5;0.3;5;3;0.002;31;9.9;;0.32;6.5;1.8;;;;23.8;5;6;13;;40.6;5;6;4611;
3706;Cryptomeria;japonica;Reunion;2960P;29782;P;S;0.6;0.3;5;12;0.0021;33;8.9;;0.27;7;1.9;;;;23.4;5;8;7;;39.3;5;17;3532;
3336;Cryptomeria;japonica;Reunion;2598;26117;;S;0.7;0.3;6;6;0.0021;30;8.3;;0.28;6.8;1.8;7.9;1.2;;21.6;6;16;31;*;38.4;6;11;2943;9
3737;Cryptomeria;japonica;Reunion;2991P;29790;P;S;0.6;0.3;5;9;0.0022;31;8.4;;0.27;7.2;2.2;;;;21;5;12;13;;39.4;5;8;3434;
3350;Cryptomeria;japonica;Reunion;2612;26122;;S;0.6;0.3;7;7;0.0021;31;8.7;;0.28;6.6;1.8;8.3;1;;21.7;7;16;48;*;37.6;7;12;3041;9
3756;Cryptomeria;japonica;Reunion;3010P;29796;P;S;0.6;0.31;5;8;0.0021;33;9.1;;0.28;7.7;2;;;;22.3;5;18;14;;45.1;4;9;3826;
3738;Cryptomeria;japonica;Reunion;2992P;29804;P;S;0.6;0.31;5;3;0.0021;35;10.2;;0.29;6.7;1.5;;;;23.7;5;14;3;;41.3;5;14;3826;
3709;Cryptomeria;japonica;Reunion;2963P;29795;P;S;0.8;0.31;5;8;0.0021;31;8.8;;0.28;6.9;2.1;;;;23.9;5;6;12;;47.3;5;10;3532;
3744;Cryptomeria;japonica;Reunion;2998P;29803;P;S;0.7;0.31;5;11;0.0022;33;9;;0.27;7.1;1.8;;;;24.7;5;29;19;;45.8;4;13;3434;
3348;Cryptomeria;japonica;Reunion;2610;26124;;S;0.7;0.32;6;17;0.0021;31;9.3;;0.3;6.7;1.8;10.2;1;;23.4;6;17;51;*;41.2;6;13;3335;9
3355;Cryptomeria;japonica;Reunion;2617;26115;;S;0.6;0.32;7;9;0.0021;31;9.3;;0.3;7.1;1.8;8.1;0.8;2,1;25.2;7;13;49;*;45.5;7;15;3728;7
3743;Cryptomeria;japonica;Reunion;2997P;29802;P;S;0.8;0.32;5;12;0.0022;32;9.2;;0.29;2.6;1.8;;;;24.8;5;14;16;;40.4;5;22;3335;
3338;Cryptomeria;japonica;Reunion;2600;26119;;S;0.6;0.32;7;7;0.0021;31;9.2;;0.3;5.7;2;7.8;0.9;2,4;25.6;7;11;52;*;39;6;8;3237;8
3723;Cryptomeria;japonica;Reunion;2977P;29799;P;S;0.8;0.32;5;14;0.0019;29;10.3;;0.36;7.1;1.8;;;;25.2;5;13;11;;44.2;5;17;4316;
3352;Cryptomeria;japonica;Reunion;2614;26110;;C;0.7;0.33;10;5;0.0021;31;9.6;;0.31;7.2;1.9;8.5;1;5,0;26.6;10;7;62;*;47.4;10;10;4022;9
3715;Cryptomeria;japonica;Reunion;2969P;29776;P;S;0.9;0.33;5;7;0.0024;35;9.2;;0.26;7.2;2.3;;;;28.8;5;14;19;;51.3;5;11;4022;
3730;Cryptomeria;japonica;Reunion;2984P;29797;P;S;1;0.33;5;11;0.0024;35;9;;0.26;7.7;2.6;;;;28.3;5;16;16;;51.5;5;11;4513;
3354;Cryptomeria;japonica;Reunion;2616;26114;;S;0.6;0.33;6;9;0.0022;32;9.5;;0.3;6.8;1.8;9.2;1.2;2,4;25.3;6;10;61;*;48.1;5;10;4316;7
3337;Cryptomeria;japonica;Reunion;2599;26121;;S;0.9;0.33;7;10;0.0022;30;9.3;;0.31;7.1;2.1;9.4;1.6;3,0;26.5;7;19;74;*;47.6;7;20;5101;9
3710;Cryptomeria;japonica;Reunion;2964P;29798;P;S;0.6;0.33;5;5;0.0021;33;10.6;;0.32;8.1;2.6;;;;27.3;5;8;10;;47.6;5;5;4905;
3736;Cryptomeria;japonica;Reunion;2990P;29788;P;S;0.8;0.34;5;8;0.0022;30;10.1;;0.34;7.6;2.4;;;;27.3;5;16;12;;44.5;5;12;4709;
3341;Cryptomeria;japonica;Reunion;2603;26116;;S;0.7;0.34;6;3;0.0022;31;9.9;;0.32;6.2;1.6;9.2;1;2,3;26;6;8;80;*;43.3;6;8;4316;11
