Numéro;genus;sp;LIB_PAYS;N_ESSEM;N_CTFT;ORIGINE;CRS;DURETE;D12;NE_D12;CV_D12;HYGRO;SATUR;RB;Champ1;RV;RT;RR;FEND;TRACTION;CIS;C12;NE_C12;CV_C12;C_T_HUMID;C_REPERE;F12;NE_F12;CV_F12;E;W
3604;Apodytes;clusiifolia;Nouvelle Caledonie;2855;28339;;C;4;0.78;10;2;0.0028;32;16.9;;0.53;13.8;4.8;23;3.8;7,9;59.2;10;4;38;;131.1;10;3;12361;29
2988;Apodytes;clusiifolia;Nouvelle Caledonie;2250;06152;;S;5.6;0.85;4;1;0.0025;33;19.2;;0.58;13.8;5.7;23.2;4;10,9;65;4;1;144;*;144.6;4;6;14813;29
3209;Apuleia;leiocarpa;Bresil n.p.;2471;23679;;R;5.2;0.68;2;;0.0031;21;10.1;;0.48;6.9;3.9;21;2.5;7,9;48.2;2;;69;*;102.2;2;;10202;21
3211;Apuleia;leiocarpa;Bresil n.p.;2473;23679;;R;4.5;0.74;2;;0.0029;24;12.4;;0.52;7.7;4.1;19.8;2.9;7,9;55.4;2;;69;*;101.8;2;;11183;27
3203;Apuleia;leiocarpa;Bresil n.p.;2465;23679;;R;5.5;0.76;2;;0.0035;25;11.8;;0.47;7.8;4.4;20.3;3.2;7,9;60.9;1;;69;*;;;;;22
3202;Apuleia;leiocarpa;Bresil n.p.;2464;23679;;R;5.9;0.77;2;;0.0035;24;11.5;;0.48;8.2;4;20.5;2.9;7,9;61.8;2;;69;*;122.6;2;;11478;23
3204;Apuleia;leiocarpa;Bresil n.p.;2466;23679;;R;7.7;0.78;2;;0.0039;19;8.8;;0.46;5.3;2.8;17.3;3.1;7,9;60.7;2;;69;*;142;2;;12753;41
3206;Apuleia;leiocarpa;Bresil n.p.;2468;23679;;R;8.1;0.78;2;;0.0036;19;9.3;;0.49;5.5;3.2;17.8;2.8;7,9;54.8;2;;69;*;98.1;2;;10399;20
3205;Apuleia;leiocarpa;Bresil n.p.;2467;23679;;R;5.7;0.8;2;;0.0025;24;14.2;;0.59;9.7;5.6;20;3.8;7,9;66.6;2;;69;*;144.9;2;;13832;27
3210;Apuleia;leiocarpa;Bresil n.p.;2472;23679;;R;6.3;0.81;2;;0.0027;25;14;;0.56;8.9;5.7;26.5;4.4;7,9;66.4;2;;69;*;127.2;2;;14519;24
3207;Apuleia;leiocarpa;Bresil n.p.;2469;23679;;R;7.3;0.82;2;;0.0029;22;12.5;;0.57;8.5;4.3;17.8;2.4;7,9;66.1;2;;69;*;144;2;;14617;47
3208;Apuleia;leiocarpa;Bresil n.p.;2470;23679;;R;7.1;0.88;2;;0.0033;23;12.7;;0.55;8.3;4.1;22.3;3.6;7,9;71.3;2;;69;*;155.3;2;;13832;31
3201;Apuleia;leiocarpa;Bresil n.p.;2463;23679;;R;10.9;0.9;2;;0.0031;21;12;;0.57;6.2;4.6;21.8;2.1;7,9;75.7;2;;69;*;145.6;2;;15206;50
3182;Araucaria;angustifolia;Bresil n.p.;2444;23673;;R;1.7;0.45;2;;0.0024;27;11;;0.41;8;3.8;9.8;1.9;4,5;43.8;2;;58;*;76.8;2;;7456;11
3184;Araucaria;angustifolia;Bresil n.p.;2446;23673;;R;3.1;0.48;2;;0.0024;26;11.7;;0.45;7.3;3.9;10.5;1.8;6,0;48;2;;58;*;83.7;2;;10006;13
3191;Araucaria;angustifolia;Bresil n.p.;2453;23673;;R;1.4;0.49;2;;0.0028;26;10.2;;0.39;6;2.2;11.3;1.9;6,2;44.5;2;;62;*;81.1;2;;8437;14
3183;Araucaria;angustifolia;Bresil n.p.;2445;23673;;R;2.6;0.49;2;;0.0027;26;10.6;;0.41;7.6;4.5;9.8;1.5;4,1;49.5;2;;46;*;90.7;2;;9810;13
3188;Araucaria;angustifolia;Bresil n.p.;2450;23673;;R;2;0.55;2;;0.0027;26;11.6;;0.45;8;4;13.5;2.3;4,7;56.4;2;;52;*;99.9;2;;10791;17
3181;Araucaria;angustifolia;Bresil n.p.;2443;23673;;R;2;0.55;2;;0.0035;25;8.3;;0.33;4.2;2.4;12.3;1.8;5,3;50.8;2;;50;*;93.4;2;;8633;19
3189;Araucaria;angustifolia;Bresil n.p.;2451;23673;;R;2.4;0.57;2;;0.0025;26;12.9;;0.5;8.5;4.7;10;1.9;5,9;60.2;2;;68;*;103.2;2;;12263;21
3186;Araucaria;angustifolia;Bresil n.p.;2448;23673;;R;3.4;0.57;2;;0.0027;28;12.7;;0.45;7.3;4;11.5;2.5;6,1;62.4;2;;59;*;121.8;2;;12066;24
3185;Araucaria;angustifolia;Bresil n.p.;2447;23673;;R;3.1;0.58;2;;0.003;27;11.6;;0.43;8.8;5.5;11.8;2.3;6,9;63.1;2;;66;*;118.9;2;;12949;20
3190;Araucaria;angustifolia;Bresil n.p.;2452;23673;;R;2.9;0.59;2;;0.0034;27;10.4;;0.39;5.7;2.2;13;1.8;;53.2;2;;67;*;92.7;2;;9123;16
3187;Araucaria;angustifolia;Bresil n.p.;2449;23673;;R;3;0.59;2;;0.0027;28;13.3;;0.48;9.3;5.2;12.8;2.1;6,1;64.3;2;;80;*;120.8;2;;13636;20
1220;Araucaria;columnaris;Nouvelle Caledonie;0557;06174;;C;1.9;0.47;15;4;0.0027;27;9.9;;0.37;3.8;2.7;18;2.4;11,4;46.5;15;7;39;*;86;15;10;10497;9
2876;Araucaria;columnaris;Nouvelle Caledonie;2139;19573;;C;2.4;0.51;10;4;0.0029;27;10.6;;0.39;4;2.2;11.7;1.9;4,8;39.9;10;11;86;*;95.8;5;15;6965;9
3507;Araucaria;luxurians;Nouvelle Caledonie;2762;28064;;S;2.1;0.47;10;3;0.0026;29;11.2;;0.39;6.1;4.2;9.6;1.7;5,3;40.6;9;8;19;;76.6;10;10;8535;9
3504;Araucaria;luxurians;Nouvelle Caledonie;2759;28092;;C;2.4;0.49;8;6;0.0025;30;12.7;;0.42;6.1;3.8;12;2.1;5,4;42.9;10;13;32;;79.4;10;15;9908;15
3523;Araucaria;subulata;Nouvelle Caledonie;2777;28105;;C;2.4;0.53;10;7;0.0028;27;11.1;;0.41;6.8;4.5;10.5;2.1;5,9;53.5;10;6;34;;96.1;10;14;11674;17
3502;Araucaria;subulata;Nouvelle Caledonie;2757;28106;;C;2.6;0.55;10;6;0.003;29;11.7;;0.4;6.4;4.9;13.1;2.7;6,1;52.1;10;9;38;;100.9;10;5;13244;13
1486;Araucaria;subulata;Nouvelle Caledonie;0817;06154;;C;3.2;0.62;10;2;0.0031;31;12.9;;0.42;6.5;4.3;16.2;2.8;9,1;52.2;10;6;78;*;115;10;4;13342;19
3582;Archidendropsis;granulosa;Nouvelle Caledonie;2832;28077;;S;2.2;0.5;8;4;0.0029;27;10;;0.37;6.8;3.3;12.7;2.4;5,9;42.4;9;6;23;;74;9;11;7652;17
2489;Archidendropsis;granulosa;Nouvelle Caledonie;1774;06211;;C;3.8;0.59;10;6;0.0033;35;12.9;;0.37;8.6;3.8;17.5;2;;48.6;10;9;98;*;106.2;8;14;10693;40
3547;Archidendropsis;granulosa;Nouvelle Caledonie;2800;28069;;S;3.1;0.61;9;4;0.0034;26;10.5;;0.4;6.8;3.3;14.9;2.7;5,8;53.6;9;4;28;;116.9;8;4;10104;37
616;Archidendropsis;granulosa;Nouvelle Caledonie;0203;06432;;C;4.3;0.62;10;5;0.004;32;10.2;;0.32;;;12.5;1.9;;57.4;20;6;40;*;112.3;10;;;37
1832;Archidendropsis;granulosa;Nouvelle Caledonie;1158;06158;;C;4.4;0.71;7;4;0.0039;32;12.2;;0.38;8.3;3.9;21.3;3.3;12,7;71.1;10;5;73;*;158.2;9;16;14126;48
1257;Archidendropsis;granulosa;Nouvelle Caledonie;0594;06145;;C;6.6;0.85;10;11;0.0058;64;15.7;;0.25;;;17.6;3.2;9,8;65.7;10;8;62;*;131.3;8;9;13342;29
737;Arillastrum;gummiferum;Nouvelle Caledonie;0248;;;C;6;0.97;10;2;0.0039;27;13.9;;0.51;;;13.4;2.6;;72;20;8;40;*;143.5;10;;;37
1241;Arillastrum;gummiferum;Nouvelle Caledonie;0578;06153;;C;8.1;1;10;2;0.0023;25;16.2;;0.65;10.7;6.8;19.7;3;7,5;75.4;12;4;29;*;136;11;13;15107;30
1842;Arillastrum;gummiferum;Nouvelle Caledonie;1167;06215;;S;9.7;1;5;3;0.0043;30;15;;0.5;10.4;6.4;18.9;2.5;11,3;86.5;6;4;52;*;147.2;6;6;12949;27
634;Artocarpus;altilis;Reunion;0209;02428;;C;1.4;0.34;10;6;0.002;30;10.6;;0.35;;;7;1.1;;28.7;20;11;20;*;54;10;;;8
2938;Arytera;collina;Nouvelle Caledonie;2200;06348;;S;14;1.11;7;2;0.0014;24;16.5;;0.69;11.4;8;24.6;3.7;11,9;96.1;7;3;87;*;183.4;7;11;14715;60
2571;Arytera;collina;Nouvelle Caledonie;1856;06348;;S;15.2;1.13;9;1;0.0016;23;16.2;;0.7;9.8;6.8;19.8;3.5;;76.9;9;19;64;*;108.6;4;15;12753;17
3407;Aspidosperma;album;Bresil Amazonie;2663;27298;;C;4.1;0.78;10;5;0.0029;24;13;;0.54;7.6;5.1;16.4;2.6;8,4;64.8;5;9;32;;123.9;6;6;11772;28
687;Aspidosperma;album;Bresil n.p.;0226V;;V;C;10.5;0.94;10;1;0.0023;24;15.3;;0.64;8.4;7.3;;;;86.9;10;8;48;*;198.7;9;8;24525;
