Taxon;Genus;Hybrid.marker;Species;Abbrev;Infraspecific.rank;Infraspecific;Authority;ID;Plant.Name.Index;TPL.version;Taxonomic.status;Family;New.Genus;New.Hybrid.marker;New.Species;New.Infraspecific.rank;New.Infraspecific;New.Authority;New.ID;New.Taxonomic.status;Typo;WFormat;Higher.level;Date
Sacoglottis cydonioides;Sacoglottis;;cydonioides;NA;NA;;;kew-2589266;TRUE;1.1;Accepted;Humiriaceae;Sacoglottis;;cydonioides;;;Cuatrec.;kew-2589266;Accepted;FALSE;FALSE;FALSE;09/12/2021
Sacoglottis guianensis;Sacoglottis;;guianensis;NA;NA;;;kew-2589259;TRUE;1.1;Accepted;Humiriaceae;Sacoglottis;;guianensis;;;Benth.;kew-2589259;Accepted;FALSE;FALSE;FALSE;09/12/2021
Schefflera decaphylla;Schefflera;;decaphylla;NA;NA;;;kew-187163;TRUE;1.1;Accepted;Araliaceae;Schefflera;;decaphylla;;;(Seem.) Harms;kew-187163;Accepted;FALSE;FALSE;FALSE;09/12/2021
Schefflera morototoni;Schefflera;;morototoni;NA;NA;;;kew-187438;TRUE;1.1;Accepted;Araliaceae;Schefflera;;morototoni;;;(Aubl.) Maguire, Steyerm. & Frodin;kew-187438;Accepted;FALSE;FALSE;FALSE;09/12/2021
Sclerolobium melinonii;Sclerolobium;;melinonii;NA;NA;;;ild-11761;TRUE;1.1;Accepted;Leguminosae;Sclerolobium;;melinonii;;;Harms;ild-11761;Accepted;FALSE;FALSE;FALSE;09/12/2021
Simaba multiflora;Simaba;;multiflora;NA;NA;;;kew-2580358;TRUE;1.1;Synonym;Simaroubaceae;Simaba;;orinocensis;;;Kunth;kew-2580361;Accepted;FALSE;FALSE;FALSE;09/12/2021
Simarouba amara;Simarouba;;amara;NA;NA;;;kew-2580434;TRUE;1.1;Accepted;Simaroubaceae;Simarouba;;amara;;;Aubl.;kew-2580434;Accepted;FALSE;FALSE;FALSE;09/12/2021
Sloanea latifolia;Sloanea;;latifolia;NA;NA;;;kew-2592258;TRUE;1.1;Accepted;Elaeocarpaceae;Sloanea;;latifolia;;;(Rich.) K.Schum.;kew-2592258;Accepted;FALSE;FALSE;FALSE;09/12/2021
Sterculia pruriens;Sterculia;;pruriens;NA;NA;;;kew-2579957;TRUE;1.1;Accepted;Malvaceae;Sterculia;;pruriens;;;(Aubl.) K.Schum.;kew-2579957;Accepted;FALSE;FALSE;FALSE;09/12/2021
Sterculia sp;Sterculia;;sp;NA;NA;;;;FALSE;1.1;;;Sterculia;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Stryphnodendron polystachyum;Stryphnodendron;;polystachyum;NA;NA;;;ild-10484;TRUE;1.1;Accepted;Leguminosae;Stryphnodendron;;polystachyum;;;(Miq.) Kleinhoonte;ild-10484;Accepted;FALSE;FALSE;FALSE;09/12/2021
Swartzia benthamiana;Swartzia;;benthamiana;NA;NA;;;ild-28187;TRUE;1.1;Accepted;Leguminosae;Swartzia;;benthamiana;;;Miq.;ild-28187;Accepted;FALSE;FALSE;FALSE;09/12/2021
Swartzia oblanceolata;Swartzia;;oblanceolata;NA;NA;;;ild-10557;TRUE;1.1;Accepted;Leguminosae;Swartzia;;oblanceolata;;;Sandwith;ild-10557;Accepted;FALSE;FALSE;FALSE;09/12/2021
Swartzia panacoco;Swartzia;;panacoco;NA;NA;;;ild-15164;TRUE;1.1;Accepted;Leguminosae;Swartzia;;panacoco;;;(Aubl.) Cowan;ild-15164;Accepted;FALSE;FALSE;FALSE;09/12/2021
Symphonia globulifera;Symphonia;;globulifera;NA;NA;;;kew-2484835;TRUE;1.1;Accepted;Clusiaceae;Symphonia;;globulifera;;;L.f.;kew-2484835;Accepted;FALSE;FALSE;FALSE;09/12/2021
Tabebuia fluviatilis;Tabebuia;;fluviatilis;NA;NA;;;kew-318682;TRUE;1.1;Accepted;Bignoniaceae;Tabebuia;;fluviatilis;;;(Aubl.) DC.;kew-318682;Accepted;FALSE;FALSE;FALSE;09/12/2021
Tabebuia serratifolia;Tabebuia;;serratifolia;NA;NA;;;kew-318865;TRUE;1.1;Synonym;Bignoniaceae;Handroanthus;;serratifolius;;;(Vahl) S.O.Grose;kew-347070;Accepted;FALSE;FALSE;FALSE;09/12/2021
Tabebuia sp;Tabebuia;;sp;NA;NA;;;;FALSE;1.1;;;Tabebuia;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Tachigali paniculata;Tachigali;;paniculata;NA;NA;;;ild-30251;TRUE;1.1;Accepted;Leguminosae;Tachigali;;paniculata;;;Aubl.;ild-30251;Accepted;FALSE;FALSE;FALSE;09/12/2021
Tapirira guianensis;Tapirira;;guianensis;NA;NA;;;kew-2436204;TRUE;1.1;Accepted;Anacardiaceae;Tapirira;;guianensis;;;Aubl.;kew-2436204;Accepted;FALSE;FALSE;FALSE;09/12/2021
Terminalia amazonia;Terminalia;;amazonia;NA;NA;;;kew-2431494;TRUE;1.1;Accepted;Combretaceae;Terminalia;;amazonia;;;(J.F.Gmel.) Exell;kew-2431494;Accepted;FALSE;FALSE;FALSE;09/12/2021
Terminalia guianensis;Terminalia;;guianensis;NA;NA;;;kew-2434252;TRUE;1.1;Accepted;Combretaceae;Terminalia;;guyanensis;;;Eichler;kew-2434252;Accepted;TRUE;FALSE;FALSE;09/12/2021
Tetragastris altissima;Tetragastris;;altissima;NA;NA;;;kew-2432749;TRUE;1.1;Accepted;Burseraceae;Tetragastris;;altissima;;;(Aubl.) Swart;kew-2432749;Accepted;FALSE;FALSE;FALSE;09/12/2021
Tetragastris hostmannii;Tetragastris;;hostmannii;NA;NA;;;kew-2432755;TRUE;1.1;Accepted;Burseraceae;Tetragastris;;hostmannii;;;(Engl.) Kuntze;kew-2432755;Accepted;FALSE;FALSE;FALSE;09/12/2021
Tetragastris panamensis;Tetragastris;;panamensis;NA;NA;;;kew-2432736;TRUE;1.1;Accepted;Burseraceae;Tetragastris;;panamensis;;;(Engl.) Kuntze;kew-2432736;Accepted;FALSE;FALSE;FALSE;09/12/2021
Tetragastris sp;Tetragastris;;sp;NA;NA;;;;FALSE;1.1;;;Tetragastris;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Thyrsodium guianense;Thyrsodium;;guianense;NA;NA;;;tro-1300237;TRUE;1.1;Accepted;Anacardiaceae;Thyrsodium;;guianense;;;Sagot ex Marchand;tro-1300237;Accepted;FALSE;FALSE;FALSE;09/12/2021
Thyrsodium spruceanum;Thyrsodium;;spruceanum;NA;NA;;;kew-2435296;TRUE;1.1;Accepted;Anacardiaceae;Thyrsodium;;spruceanum;;;Benth.;kew-2435296;Accepted;FALSE;FALSE;FALSE;09/12/2021
Tovomita carinata;Tovomita;;carinata;NA;NA;;;kew-2431706;TRUE;1.1;Accepted;Clusiaceae;Tovomita;;carinata;;;Eyma;kew-2431706;Accepted;FALSE;FALSE;FALSE;09/12/2021
Trattinickia burserifolia;Trattinickia;;burserifolia;NA;NA;;;kew-2432658;TRUE;1.1;Accepted;Burseraceae;Trattinnickia;;burserifolia;;;Mart.;kew-2432658;Accepted;TRUE;FALSE;FALSE;09/12/2021
Trattinickia rhoifolia;Trattinickia;;rhoifolia;NA;NA;;;kew-2432662;TRUE;1.1;Accepted;Burseraceae;Trattinnickia;;rhoifolia;;;Willd.;kew-2432662;Accepted;TRUE;FALSE;FALSE;09/12/2021
Vatairea paraensis;Vatairea;;paraensis;NA;NA;;;ild-11814;TRUE;1.1;Accepted;Leguminosae;Vatairea;;paraensis;;;Ducke;ild-11814;Accepted;FALSE;FALSE;FALSE;09/12/2021
Vataireopsis surinamensis;Vataireopsis;;surinamensis;NA;NA;;;ild-21567;TRUE;1.1;Accepted;Leguminosae;Vataireopsis;;surinamensis;;;Lima;ild-21567;Accepted;FALSE;FALSE;FALSE;09/12/2021
Virola michelii;Virola;;michelii;NA;NA;;;kew-2873146;TRUE;1.1;Accepted;Myristicaceae;Virola;;michelii;;;Heckel;kew-2873146;Accepted;FALSE;FALSE;FALSE;09/12/2021
Virola sp;Virola;;sp;NA;NA;;;;FALSE;1.1;;;Virola;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Virola surinamensis;Virola;;surinamensis;NA;NA;;;kew-2451940;TRUE;1.1;Accepted;Myristicaceae;Virola;;surinamensis;;;(Rol. ex Rottb.) Warb.;kew-2451940;Accepted;FALSE;FALSE;FALSE;09/12/2021
Vochysia cayennensis;Vochysia;;cayennensis;NA;NA;;;tro-34100057;TRUE;1.1;Accepted;Vochysiaceae;Vochysia;;cayennensis;;;Warm.;tro-34100057;Accepted;FALSE;FALSE;FALSE;09/12/2021
Vochysia guianensis;Vochysia;;guianensis;NA;NA;;;tro-34100169;TRUE;1.1;Accepted;Vochysiaceae;Vochysia;;guianensis;;;Aubl.;tro-34100169;Accepted;FALSE;FALSE;FALSE;09/12/2021
Vochysia neyratii;Vochysia;;neyratii;NA;NA;;;tro-50185043;TRUE;1.1;Accepted;Vochysiaceae;Vochysia;;neyratii;;;Normand;tro-50185043;Accepted;FALSE;FALSE;FALSE;09/12/2021
Vochysia sp;Vochysia;;sp;NA;NA;;;;FALSE;1.1;;;Vochysia;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Vochysia speciosa;Vochysia;;speciosa;NA;NA;;;tro-34100113;TRUE;1.1;Accepted;Vochysiaceae;Vochysia;;speciosa;;;Warm.;tro-34100113;Accepted;FALSE;FALSE;FALSE;09/12/2021
Vochysia tomentosa;Vochysia;;tomentosa;NA;NA;;;kew-2461016;TRUE;1.1;Accepted;Vochysiaceae;Vochysia;;tomentosa;;;(G.Mey.) DC.;kew-2461016;Accepted;FALSE;FALSE;FALSE;09/12/2021
Vouacapoua americana;Vouacapoua;;americana;NA;NA;;;ild-20484;TRUE;1.1;Accepted;Leguminosae;Vouacapoua;;americana;;;Aubl.;ild-20484;Accepted;FALSE;FALSE;FALSE;09/12/2021
Xylopia grandiflora;Xylopia;;grandiflora;NA;NA;;;kew-2468222;TRUE;1.1;Synonym;Annonaceae;Xylopia;;aromatica;;;(Lam.) Mart.;kew-2468137;Accepted;FALSE;FALSE;FALSE;09/12/2021
Xylopia sericea;Xylopia;;sericea;NA;NA;;;kew-2467939;TRUE;1.1;Accepted;Annonaceae;Xylopia;;sericea;;;A.St.-Hil.;kew-2467939;Accepted;FALSE;FALSE;FALSE;09/12/2021
Zanthoxylum rhoifolium;Zanthoxylum;;rhoifolium;NA;NA;;;kew-2469000;TRUE;1.1;Accepted;Rutaceae;Zanthoxylum;;rhoifolium;;;Lam.;kew-2469000;Accepted;FALSE;FALSE;FALSE;09/12/2021
Zygia racemosa;Zygia;;racemosa;NA;NA;;;tro-50157734;TRUE;1.1;Accepted;Leguminosae;Zygia;;racemosa;;;(Ducke) Barneby & J.W. Grimes;tro-50157734;Accepted;FALSE;FALSE;FALSE;09/12/2021
