Taxon;Genus;Hybrid.marker;Species;Abbrev;Infraspecific.rank;Infraspecific;Authority;ID;Plant.Name.Index;TPL.version;Taxonomic.status;Family;New.Genus;New.Hybrid.marker;New.Species;New.Infraspecific.rank;New.Infraspecific;New.Authority;New.ID;New.Taxonomic.status;Typo;WFormat;Higher.level;Date
Glycydendron amazonicum;Glycydendron;;amazonicum;NA;NA;;;kew-91174;TRUE;1.1;Accepted;Euphorbiaceae;Glycydendron;;amazonicum;;;Ducke;kew-91174;Accepted;FALSE;FALSE;FALSE;09/12/2021
Gmelina sp;Gmelina;;sp;NA;NA;;;;FALSE;1.1;;;Gmelina;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Goupia glabra;Goupia;;glabra;NA;NA;;;kew-2831531;TRUE;1.1;Accepted;Goupiaceae;Goupia;;glabra;;;Aubl.;kew-2831531;Accepted;FALSE;FALSE;FALSE;09/12/2021
Guarea gomma;Guarea;;gomma;NA;NA;;;kew-2834017;TRUE;1.1;Accepted;Meliaceae;Guarea;;gomma;;;Pulle;kew-2834017;Accepted;FALSE;FALSE;FALSE;09/12/2021
Guarea macrophylla;Guarea;;macrophylla;NA;NA;;;kew-2834067;TRUE;1.1;Accepted;Meliaceae;Guarea;;macrophylla;;;Vahl;kew-2834067;Accepted;FALSE;FALSE;FALSE;09/12/2021
Guarea punctulata;Guarea;;punctulata;NA;NA;;;kew-2834142;TRUE;1.1;Synonym;Meliaceae;Guarea;;macrophylla;subsp.;tuberculata;(Vell.) T.D.Penn.;kew-2834071;Accepted;FALSE;FALSE;FALSE;09/12/2021
Humiria balsamifera;Humiria;;balsamifera;NA;NA;;;kew-2854910;TRUE;1.1;Accepted;Humiriaceae;Humiria;;balsamifera;;;Aubl.;kew-2854910;Accepted;FALSE;FALSE;FALSE;09/12/2021
Hura crepitans;Hura;;crepitans;NA;NA;;;kew-100851;TRUE;1.1;Accepted;Euphorbiaceae;Hura;;crepitans;;;L.;kew-100851;Accepted;FALSE;FALSE;FALSE;09/12/2021
Hymenaea courbaril;Hymenaea;;courbaril;NA;NA;;;ild-1496;TRUE;1.1;Accepted;Leguminosae;Hymenaea;;courbaril;;;L.;ild-1496;Accepted;FALSE;FALSE;FALSE;09/12/2021
Hymenaea sp;Hymenaea;;sp;NA;NA;;;;FALSE;1.1;;;Hymenaea;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Hymenolobium sp;Hymenolobium;;sp;NA;NA;;;;FALSE;1.1;;;Hymenolobium;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Ilex casiquiarensis;Ilex;;casiquiarensis;NA;NA;;;kew-2860500;TRUE;1.1;Accepted;Aquifoliaceae;Ilex;;casiquiarensis;;;Loes.;kew-2860500;Accepted;FALSE;FALSE;FALSE;09/12/2021
Inga alba;Inga;;alba;NA;NA;;;ild-19794;TRUE;1.1;Accepted;Leguminosae;Inga;;alba;;;(Sw.) Willd.;ild-19794;Accepted;FALSE;FALSE;FALSE;09/12/2021
Inga capitata;Inga;;capitata;NA;NA;;;ild-11661;TRUE;1.1;Accepted;Leguminosae;Inga;;capitata;;;Desv.;ild-11661;Accepted;FALSE;FALSE;FALSE;09/12/2021
Inga sp;Inga;;sp;NA;NA;;;;FALSE;1.1;;;Inga;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Iryanthera sagotiana;Iryanthera;;sagotiana;NA;NA;;;tro-21800019;TRUE;1.1;Accepted;Myristicaceae;Iryanthera;;sagotiana;;;(Benth.) Warb.;tro-21800019;Accepted;FALSE;FALSE;FALSE;09/12/2021
Iryanthera sp;Iryanthera;;sp;NA;NA;;;;FALSE;1.1;;;Iryanthera;;sp;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
Jacaranda copaia;Jacaranda;;copaia;NA;NA;;;kew-317413;TRUE;1.1;Accepted;Bignoniaceae;Jacaranda;;copaia;;;(Aubl.) D.Don;kew-317413;Accepted;FALSE;FALSE;FALSE;09/12/2021
Khaya senegalensis;Khaya;;senegalensis;NA;NA;;;kew-2334985;TRUE;1.1;Accepted;Meliaceae;Khaya;;senegalensis;;;(Desv.) A.Juss.;kew-2334985;Accepted;FALSE;FALSE;FALSE;09/12/2021
Laetia procera;Laetia;;procera;NA;NA;;;tro-13200215;TRUE;1.1;Accepted;Salicaceae;Laetia;;procera;;;(Poepp.) Eichler;tro-13200215;Accepted;FALSE;FALSE;FALSE;09/12/2021
Lecythis corrugata;Lecythis;;corrugata;NA;NA;;;kew-313017;TRUE;1.1;Accepted;Lecythidaceae;Lecythis;;corrugata;;;Poit.;kew-313017;Accepted;FALSE;FALSE;FALSE;09/12/2021
Lecythis idatimon;Lecythis;;idatimon;NA;NA;;;kew-312978;TRUE;1.1;Accepted;Lecythidaceae;Lecythis;;idatimon;;;Aubl.;kew-312978;Accepted;FALSE;FALSE;FALSE;09/12/2021
Lecythis persistens;Lecythis;;persistens;NA;NA;;;kew-312998;TRUE;1.1;Accepted;Lecythidaceae;Lecythis;;persistens;;;Sagot;kew-312998;Accepted;FALSE;FALSE;FALSE;09/12/2021
Lecythis zabucajo;Lecythis;;zabucajo;NA;NA;;;kew-313097;TRUE;1.1;Accepted;Lecythidaceae;Lecythis;;zabucajo;;;Aubl.;kew-313097;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licania alba;Licania;;alba;NA;NA;;;kew-353929;TRUE;1.1;Accepted;Chrysobalanaceae;Licania;;alba;;;(Bernoulli) Cuatrec.;kew-353929;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licania canescens;Licania;;canescens;NA;NA;;;kew-354149;TRUE;1.1;Accepted;Chrysobalanaceae;Licania;;canescens;;;Benoist;kew-354149;Accepted;FALSE;FALSE;FALSE;09/12/2021
Licania licaniaeflora;Licania;;licaniaeflora;NA;NA;;;;FALSE;1.1;;;Licania;;licaniaeflora;NA;;;;;FALSE;FALSE;FALSE;09/12/2021
